Date,Shell,AstraZeneca,HSBC Holdings,Unilever Group,BP,Diageo,Rio Tinto Group,Glencore,British American Tobacco,GlaxoSmithKline,FTSE 100
2014-04-14,6583.7998046875,3736.0,3451.0,474.54998779296875,1917.0,317.8999938964844,1554.3529052734375,621.4000244140625,3408.0,2213.5,2663.0
2014-04-15,6541.60009765625,3723.0,3435.5,473.5,1910.0,312.3999938964844,1558.3824462890625,617.9000244140625,3302.5,2230.5,2632.0
2014-04-16,6584.2001953125,3758.5,3415.5,478.5,1900.0,313.95001220703125,1575.0037841796875,616.2999877929688,3305.5,2225.0,2622.0
2014-04-17,6625.2998046875,3781.5,3407.0,482.04998779296875,1829.0,314.1499938964844,1570.470703125,617.4000244140625,3288.5,2244.0,2617.0
2014-04-22,6681.7998046875,3960.0,3423.5,486.6000061035156,1838.0,314.8500061035156,1652.066650390625,614.9000244140625,3257.0,2240.0,2609.0
2014-04-23,6674.7001953125,4042.5,3417.0,485.8500061035156,1816.5,315.04998779296875,1654.5849609375,612.2000122070312,3249.0,2247.0,2634.0
2014-04-24,6703.0,4175.0,3424.5,489.3500061035156,1805.5,316.0,1663.1475830078125,613.0,3278.5,2254.5,2590.0
2014-04-25,6685.7001953125,4080.0,3424.5,493.5,1807.0,316.0,1667.177001953125,602.5,3278.5,2248.5,2597.0
2014-04-28,6700.2001953125,4666.5,3459.0,488.3500061035156,1821.5,312.54998779296875,1665.162353515625,600.9000244140625,3185.5,2255.5,2615.0
2014-04-29,6769.89990234375,4632.5,3487.0,502.6000061035156,1826.0,315.54998779296875,1677.7542724609375,611.0999755859375,3220.0,2280.0,2628.0
2014-04-30,6780.0,4664.0,3417.0,499.20001220703125,1817.5,318.5,1644.0078125,604.0999755859375,3224.5,2347.0,2644.0
2014-05-01,6808.89990234375,4815.0,3449.0,498.04998779296875,1825.0,316.04998779296875,1649.54833984375,607.4000244140625,3200.0,2333.5,2621.0
2014-05-02,6822.39990234375,4808.0,3396.5,501.70001220703125,1825.5,319.25,1639.4747314453125,605.7000122070312,3247.0,2354.0,2606.0
2014-05-06,6798.60009765625,4677.5,3366.5,501.0,1827.0,320.75,1637.963623046875,604.0999755859375,3215.0,2346.5,2592.0
2014-05-07,6796.39990234375,4631.0,3415.5,501.3999938964844,1825.0,323.3999938964844,1641.4893798828125,596.5,3247.0,2362.5,2597.0
2014-05-08,6839.2998046875,4713.0,3436.0,501.29998779296875,1830.5,326.6000061035156,1628.8974609375,593.7999877929688,3205.0,2378.5,2612.0
